term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Regulation Of Protein Localization To Nucleus (GO:1900180)	Regulation Of Protein Localization To Nucleus (GO:1900180)	1	1/52	0.019230769230769232	52	0.1290397695662701	0.2117709121510965	TPR
Cardiac Muscle Tissue Development (GO:0048738)	Cardiac Muscle Tissue Development (GO:0048738)	1	1/52	0.019230769230769232	52	0.1290397695662701	0.2117709121510965	AKAP13
Regulation Of Proteasomal Protein Catabolic Process (GO:0061136)	Regulation Of Proteasomal Protein Catabolic Process (GO:0061136)	1	1/53	0.018867924528301886	53	0.1313538272083178	0.2121468558483545	TMF1
Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)	Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)	1	1/53	0.018867924528301886	53	0.1313538272083178	0.2121468558483545	EP300
Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)	Positive Regulation Of NIK/NF-kappaB Signaling (GO:1901224)	1	1/53	0.018867924528301886	53	0.1313538272083178	0.2121468558483545	EP300
Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)	Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)	1	1/53	0.018867924528301886	53	0.1313538272083178	0.2121468558483545	YTHDC1
Regulation Of Myoblast Differentiation (GO:0045661)	Regulation Of Myoblast Differentiation (GO:0045661)	1	1/54	0.018518518518518517	54	0.1336618523140121	0.2141747003614288	ARID1A
Ribosomal Large Subunit Biogenesis (GO:0042273)	Ribosomal Large Subunit Biogenesis (GO:0042273)	1	1/54	0.018518518518518517	54	0.1336618523140121	0.2141747003614288	LAS1L
Positive Regulation Of Gene Expression (GO:0010628)	Positive Regulation Of Gene Expression (GO:0010628)	3	3/480	0.00625	480	0.1342297887325221	0.2142412706436725	EP300;PLXNB2;ARID1A
Regulation Of Stem Cell Population Maintenance (GO:2000036)	Regulation Of Stem Cell Population Maintenance (GO:2000036)	1	1/56	0.017857142857142856	56	0.1382598666864779	0.2198115849273302	ARID1A
Eye Development (GO:0001654)	Eye Development (GO:0001654)	1	1/58	0.017241379310344827	58	0.1428339355962912	0.2244533273656005	SHROOM2
Peptidyl-Threonine Phosphorylation (GO:0018107)	Peptidyl-Threonine Phosphorylation (GO:0018107)	1	1/58	0.017241379310344827	58	0.1428339355962912	0.2244533273656005	CAD
Response To Organic Cyclic Compound (GO:0014070)	Response To Organic Cyclic Compound (GO:0014070)	1	1/58	0.017241379310344827	58	0.1428339355962912	0.2244533273656005	TPR
Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333)	Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333)	1	1/59	0.01694915254237288	59	0.145112028750085	0.2245650026664813	EP300
Regulation Of Multicellular Organismal Development (GO:2000026)	Regulation Of Multicellular Organismal Development (GO:2000026)	1	1/59	0.01694915254237288	59	0.145112028750085	0.2245650026664813	TRIP12
Phospholipid Transport (GO:0015914)	Phospholipid Transport (GO:0015914)	1	1/59	0.01694915254237288	59	0.145112028750085	0.2245650026664813	OSBPL8
Mitotic Cytokinesis (GO:0000281)	Mitotic Cytokinesis (GO:0000281)	1	1/59	0.01694915254237288	59	0.145112028750085	0.2245650026664813	KIF23
Histone Acetylation (GO:0016573)	Histone Acetylation (GO:0016573)	1	1/60	0.016666666666666666	60	0.1473841813494661	0.226359855883897	EP300
Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	1	1/60	0.016666666666666666	60	0.1473841813494661	0.226359855883897	PLXNB2
Spliceosomal Complex Assembly (GO:0000245)	Spliceosomal Complex Assembly (GO:0000245)	1	1/62	0.016129032258064516	62	0.151910725680046	0.2307002438499207	YTHDC1
Regulation Of Embryonic Development (GO:0045995)	Regulation Of Embryonic Development (GO:0045995)	1	1/62	0.016129032258064516	62	0.151910725680046	0.2307002438499207	TRIP12
RNA Methylation (GO:0001510)	RNA Methylation (GO:0001510)	1	1/62	0.016129032258064516	62	0.151910725680046	0.2307002438499207	THADA
Regulation Of Cellular Catabolic Process (GO:0031329)	Regulation Of Cellular Catabolic Process (GO:0031329)	1	1/63	0.015873015873015872	63	0.1541651476447922	0.2332535877004849	EP300
Positive Regulation Of T Cell Differentiation (GO:0045582)	Positive Regulation Of T Cell Differentiation (GO:0045582)	1	1/64	0.015625	64	0.1564136896293322	0.2357791543671785	ARID1A
Cellular Response To Light Stimulus (GO:0071482)	Cellular Response To Light Stimulus (GO:0071482)	1	1/65	0.015384615384615385	65	0.1586563666396397	0.2374012544938727	EP300
Regulation Of Translational Initiation (GO:0006446)	Regulation Of Translational Initiation (GO:0006446)	1	1/65	0.015384615384615385	65	0.1586563666396397	0.2374012544938727	TPR
Peptidyl-Threonine Modification (GO:0018210)	Peptidyl-Threonine Modification (GO:0018210)	1	1/66	0.015151515151515152	66	0.1608931937032813	0.2398664096602033	CAD
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	3	3/525	0.005714285714285714	525	0.1622060264725972	0.2409410685195148	AKAP13;OSBPL8;EP300
Positive Regulation Of Protein Transport (GO:0051222)	Positive Regulation Of Protein Transport (GO:0051222)	1	1/70	0.014285714285714285	70	0.1697823011464876	0.2494635255112651	TPR
Regulation Of Notch Signaling Pathway (GO:0008593)	Regulation Of Notch Signaling Pathway (GO:0008593)	1	1/70	0.014285714285714285	70	0.1697823011464876	0.2494635255112651	YJEFN3
Sensory Organ Development (GO:0007423)	Sensory Organ Development (GO:0007423)	1	1/70	0.014285714285714285	70	0.1697823011464876	0.2494635255112651	SHROOM2
Regulation Of Cilium Assembly (GO:1902017)	Regulation Of Cilium Assembly (GO:1902017)	1	1/71	0.014084507042253521	71	0.1719901021729171	0.2508481926429269	RABGAP1
Synapse Assembly (GO:0007416)	Synapse Assembly (GO:0007416)	1	1/71	0.014084507042253521	71	0.1719901021729171	0.2508481926429269	PLXNB2
Central Nervous System Development (GO:0007417)	Central Nervous System Development (GO:0007417)	2	2/283	0.007067137809187279	283	0.1725736951843232	0.2508481926429269	SHROOM2;PLXNB2
Regulation Of Cellular Localization (GO:0060341)	Regulation Of Cellular Localization (GO:0060341)	1	1/72	0.013888888888888888	72	0.1741921424776707	0.2514049715901134	TPR
Negative Regulation Of Cell Adhesion (GO:0007162)	Negative Regulation Of Cell Adhesion (GO:0007162)	1	1/72	0.013888888888888888	72	0.1741921424776707	0.2514049715901134	PLXNB2
Ubiquitin-Dependent ERAD Pathway (GO:0030433)	Ubiquitin-Dependent ERAD Pathway (GO:0030433)	1	1/73	0.0136986301369863	73	0.1763884367943279	0.2527820203355332	UBE4A
Regulation Of Rho Protein Signal Transduction (GO:0035023)	Regulation Of Rho Protein Signal Transduction (GO:0035023)	1	1/73	0.0136986301369863	73	0.1763884367943279	0.2527820203355332	AKAP13
Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806)	Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806)	1	1/74	0.013513513513513514	74	0.1785789998452881	0.2550233436387096	ARID1A
Positive Regulation Of Neurogenesis (GO:0050769)	Positive Regulation Of Neurogenesis (GO:0050769)	1	1/75	0.013333333333333334	75	0.1807638462785187	0.2563445485552513	PLXNB2
Nucleosome Organization (GO:0034728)	Nucleosome Organization (GO:0034728)	1	1/75	0.013333333333333334	75	0.1807638462785187	0.2563445485552513	ARID1A
Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)	1	1/77	0.012987012987012988	77	0.1851164478822136	0.2616055357224338	YJEFN3
Regulation Of Intracellular Signal Transduction (GO:1902531)	Regulation Of Intracellular Signal Transduction (GO:1902531)	2	2/297	0.006734006734006734	297	0.1858694242687772	0.2617607462885548	AKAP13;EP300
Cellular Response To UV (GO:0034644)	Cellular Response To UV (GO:0034644)	1	1/79	0.012658227848101266	79	0.189446358131585	0.2649644940190896	EP300
Negative Regulation Of Cellular Component Organization (GO:0051129)	Negative Regulation Of Cellular Component Organization (GO:0051129)	1	1/79	0.012658227848101266	79	0.189446358131585	0.2649644940190896	EP300
Regulation Of Cytokinesis (GO:0032465)	Regulation Of Cytokinesis (GO:0032465)	1	1/80	0.0125	80	0.1916028402963843	0.2661513856676737	KIF23
Regulation Of Organelle Assembly (GO:1902115)	Regulation Of Organelle Assembly (GO:1902115)	1	1/80	0.0125	80	0.1916028402963843	0.2661513856676737	RABGAP1
Activation Of Protein Kinase Activity (GO:0032147)	Activation Of Protein Kinase Activity (GO:0032147)	1	1/81	0.012345679012345678	81	0.1937536931270386	0.2673144172973042	OSBPL8
Histone Modification (GO:0016570)	Histone Modification (GO:0016570)	1	1/81	0.012345679012345678	81	0.1937536931270386	0.2673144172973042	EP300
Regulation Of Phosphorylation (GO:0042325)	Regulation Of Phosphorylation (GO:0042325)	1	1/82	0.012195121951219513	82	0.1958989309990987	0.2684540906283946	PLXNB2
Sodium Ion Transmembrane Transport (GO:0035725)	Sodium Ion Transmembrane Transport (GO:0035725)	1	1/82	0.012195121951219513	82	0.1958989309990987	0.2684540906283946	SLC9A6
