term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
THYROID CANCER	THYROID CANCER	1	1/36	0.027777777777777776	36	0.0196274719399136	0.0851893945683926	TPR
INOSITOL PHOSPHATE METABOLISM	INOSITOL PHOSPHATE METABOLISM	1	1/78	0.01282051282051282	78	0.0420832593305425	0.0851893945683926	PI4KA
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	1	1/98	0.01020408163265306	98	0.0526112631068001	0.0851893945683926	PI4KA
NUCLEOCYTOPLASMIC TRANSPORT	NUCLEOCYTOPLASMIC TRANSPORT	1	1/106	0.009433962264150943	106	0.0567929297122617	0.0851893945683926	TPR
AMYOTROPHIC LATERAL SCLEROSIS	AMYOTROPHIC LATERAL SCLEROSIS	1	1/362	0.0027624309392265192	362	0.1820663949174077	0.2184796739008893	TPR
PATHWAYS IN CANCER	PATHWAYS IN CANCER	1	1/525	0.0019047619047619048	525	0.2537398701496594	0.2537398701496594	TPR
