term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Specific Granule (GO:0042581)	Specific Granule (GO:0042581)	1	1/159	0.006289308176100629	159	0.3453051777882826	0.4527782029984157	UBR4
Tertiary Granule (GO:0070820)	Tertiary Granule (GO:0070820)	1	1/162	0.006172839506172839	162	0.3505379636116766	0.4527782029984157	UBR4
Organelle Outer Membrane (GO:0031968)	Organelle Outer Membrane (GO:0031968)	1	1/170	0.0058823529411764705	170	0.3642922694143156	0.4609412388507667	QTRT2
Ficolin-1-Rich Granule (GO:0101002)	Ficolin-1-Rich Granule (GO:0101002)	1	1/184	0.005434782608695652	184	0.3876778514700859	0.473285593961898	UBR4
Microtubule (GO:0005874)	Microtubule (GO:0005874)	1	1/185	0.005405405405405406	185	0.3893155692267226	0.473285593961898	KIF23
Polymeric Cytoskeletal Fiber (GO:0099513)	Polymeric Cytoskeletal Fiber (GO:0099513)	1	1/265	0.0037735849056603774	265	0.5073071511833434	0.6048662187186017	KIF23
Secretory Granule Membrane (GO:0030667)	Secretory Granule Membrane (GO:0030667)	1	1/279	0.0035842293906810036	279	0.525517435890853	0.614756245759111	UBR4
Cell-Cell Junction (GO:0005911)	Cell-Cell Junction (GO:0005911)	1	1/299	0.0033444816053511705	299	0.5503916518470008	0.6312491110659824	SHROOM2
Early Endosome (GO:0005769)	Early Endosome (GO:0005769)	1	1/307	0.003257328990228013	307	0.5599790501391779	0.6312491110659824	SLC9A6
Mitochondrial Matrix (GO:0005759)	Mitochondrial Matrix (GO:0005759)	1	1/355	0.0028169014084507044	355	0.6134308360668013	0.6740020744041624	DHTKD1
Endosome Membrane (GO:0010008)	Endosome Membrane (GO:0010008)	1	1/361	0.002770083102493075	361	0.6196470684038267	0.6740020744041624	SLC9A6
Endoplasmic Reticulum Membrane (GO:0005789)	Endoplasmic Reticulum Membrane (GO:0005789)	2	2/801	0.0024968789013732834	801	0.6323732131040402	0.6748320934485271	SLC9A6;THADA
Focal Adhesion (GO:0005925)	Focal Adhesion (GO:0005925)	1	1/387	0.002583979328165375	387	0.6454697546142397	0.6748320934485271	KIF23
Cell-Substrate Junction (GO:0030055)	Cell-Substrate Junction (GO:0030055)	1	1/395	0.002531645569620253	395	0.6530633162405101	0.6748320934485271	KIF23
Mitochondrial Membrane (GO:0031966)	Mitochondrial Membrane (GO:0031966)	1	1/540	0.001851851851851852	540	0.7660351342694194	0.7785930872902296	QTRT2
Intracellular Organelle Lumen (GO:0070013)	Intracellular Organelle Lumen (GO:0070013)	1	1/856	0.0011682242990654205	856	0.9018684868024808	0.9018684868024808	DHTKD1
