term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Damaged DNA Binding (GO:0003684)	Damaged DNA Binding (GO:0003684)	1	1/45	0.022222222222222223	45	0.1126711522365028	0.194412968564946	EP300
GTPase Binding (GO:0051020)	GTPase Binding (GO:0051020)	2	2/225	0.008888888888888889	225	0.1197282421745121	0.1990295918605946	AKAP13;RABGAP1
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629)	2	2/228	0.008771929824561403	228	0.1223496704459944	0.1990295918605946	EP300;ARID1A
Cholesterol Binding (GO:0015485)	Cholesterol Binding (GO:0015485)	1	1/50	0.02	50	0.1243934949128716	0.1990295918605946	OSBPL8
Nuclear Receptor Coactivator Activity (GO:0030374)	Nuclear Receptor Coactivator Activity (GO:0030374)	1	1/50	0.02	50	0.1243934949128716	0.1990295918605946	TMF1
Protein Serine/Threonine Kinase Activator Activity (GO:0043539)	Protein Serine/Threonine Kinase Activator Activity (GO:0043539)	1	1/56	0.017857142857142856	56	0.1382598666864779	0.2172655047930368	GCN1
Sterol Binding (GO:0032934)	Sterol Binding (GO:0032934)	1	1/59	0.01694915254237288	59	0.145112028750085	0.2240326057896049	OSBPL8
Nucleosome Binding (GO:0031491)	Nucleosome Binding (GO:0031491)	1	1/62	0.016129032258064516	62	0.151910725680046	0.2304852389628285	ARID1A
Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)	Acyltransferase Activity, Transferring Groups Other Than Amino-Acyl Groups (GO:0016747)	1	1/64	0.015625	64	0.1564136896293322	0.2332949947013768	EP300
Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094)	Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094)	1	1/75	0.013333333333333334	75	0.1807638462785187	0.2651203078751608	SHROOM2
DNA Binding (GO:0003677)	DNA Binding (GO:0003677)	4	4/846	0.004728132387706856	846	0.1853924281329763	0.2674513717328182	EP300;SAFB;ARID1A;WDR76
Chromatin DNA Binding (GO:0031490)	Chromatin DNA Binding (GO:0031490)	1	1/83	0.012048192771084338	83	0.198038568286214	0.2810870001481748	EP300
Ribosome Binding (GO:0043022)	Ribosome Binding (GO:0043022)	1	1/85	0.011764705882352941	85	0.2023010984664659	0.2824843956837815	GCN1
Ubiquitin-Like Protein Ligase Activity (GO:0061659)	Ubiquitin-Like Protein Ligase Activity (GO:0061659)	2	2/319	0.006269592476489028	319	0.2070477009056129	0.2824843956837815	UBR4;TRIP12
Protein Kinase Activator Activity (GO:0030295)	Protein Kinase Activator Activity (GO:0030295)	1	1/88	0.011363636363636364	88	0.208653246811884	0.2824843956837815	GCN1
Transcription Coregulator Binding (GO:0001221)	Transcription Coregulator Binding (GO:0001221)	1	1/99	0.010101010101010102	99	0.2315226796253723	0.3086969061671631	EP300
Protein Kinase Regulator Activity (GO:0019887)	Protein Kinase Regulator Activity (GO:0019887)	1	1/103	0.009708737864077669	103	0.2396770174824492	0.3147996647530676	GCN1
Ubiquitin-Protein Transferase Activity (GO:0004842)	Ubiquitin-Protein Transferase Activity (GO:0004842)	2	2/412	0.0048543689320388345	412	0.2983410059612485	0.3860883606557334	UBR4;TRIP12
GTPase Regulator Activity (GO:0030695)	GTPase Regulator Activity (GO:0030695)	2	2/424	0.0047169811320754715	424	0.3101252614615052	0.3955220725885864	AKAP13;RABGAP1
Actin Binding (GO:0003779)	Actin Binding (GO:0003779)	1	1/183	0.00546448087431694	183	0.3860358247792144	0.4853021797224409	SHROOM2
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	1	1/203	0.0049261083743842365	203	0.4180701733156171	0.5181714824193563	AKAP13
GTPase Activator Activity (GO:0005096)	GTPase Activator Activity (GO:0005096)	1	1/211	0.004739336492890996	211	0.4304195681591009	0.5260683610833456	RABGAP1
Microtubule Binding (GO:0008017)	Microtubule Binding (GO:0008017)	1	1/239	0.0041841004184100415	239	0.4716509958075577	0.5625674125500428	KIF23
Ubiquitin-Like Protein Transferase Activity (GO:0019787)	Ubiquitin-Like Protein Transferase Activity (GO:0019787)	1	1/240	0.004166666666666667	240	0.473068051462536	0.5625674125500428	UBR4
ATP Binding (GO:0005524)	ATP Binding (GO:0005524)	1	1/279	0.0035842293906810036	279	0.525517435890853	0.6049518281133422	CAD
Protein Homodimerization Activity (GO:0042803)	Protein Homodimerization Activity (GO:0042803)	2	2/662	0.0030211480362537764	662	0.5275775150250755	0.6049518281133422	QTRT2;TPR
DNA-binding Transcription Factor Binding (GO:0140297)	DNA-binding Transcription Factor Binding (GO:0140297)	1	1/282	0.0035460992907801418	282	0.5293328495991745	0.6049518281133422	EP300
Adenyl Ribonucleotide Binding (GO:0032559)	Adenyl Ribonucleotide Binding (GO:0032559)	1	1/309	0.003236245954692557	309	0.5623443834099425	0.634439817180448	CAD
Cadherin Binding (GO:0045296)	Cadherin Binding (GO:0045296)	1	1/319	0.003134796238244514	319	0.5739851920240896	0.6393759101027833	GCN1
Zinc Ion Binding (GO:0008270)	Zinc Ion Binding (GO:0008270)	1	1/341	0.002932551319648094	341	0.5985360681958395	0.6583896750154234	CAD
Transition Metal Ion Binding (GO:0046914)	Transition Metal Ion Binding (GO:0046914)	1	1/456	0.0021929824561403508	456	0.7059472339353315	0.7669550195840639	CAD
Purine Ribonucleoside Triphosphate Binding (GO:0035639)	Purine Ribonucleoside Triphosphate Binding (GO:0035639)	1	1/476	0.0021008403361344537	476	0.7214986872073134	0.7742912740761412	CAD
Protein Kinase Binding (GO:0019901)	Protein Kinase Binding (GO:0019901)	1	1/511	0.0019569471624266144	511	0.746794914666754	0.7917825601286067	TPR
Double-Stranded DNA Binding (GO:0003690)	Double-Stranded DNA Binding (GO:0003690)	1	1/650	0.0015384615384615385	650	0.82682005754949	0.8661924412423229	SAFB
Sequence-Specific DNA Binding (GO:0043565)	Sequence-Specific DNA Binding (GO:0043565)	1	1/717	0.001394700139470014	717	0.8559367306949196	0.8861462623665051	SAFB
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1	1/1098	0.0009107468123861566	1098	0.9500431692056928	0.9642580414086857	SAFB
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1	1/1122	0.00089126559714795	1122	0.953300563665405	0.9642580414086857	SAFB
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1	1/1225	0.0008163265306122449	1225	0.9650687419892632	0.9650687419892632	SAFB
