term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Establishment Of Spindle Orientation (GO:0051294)	Establishment Of Spindle Orientation (GO:0051294)	1	1/35	0.02857142857142857	35	0.0190870263243922	0.0417326507770611	NUMA1
Regulation Of Intracellular Protein Transport (GO:0033157)	Regulation Of Intracellular Protein Transport (GO:0033157)	1	1/36	0.027777777777777776	36	0.0196274719399136	0.0421990646708143	TPR
Regulation Of Intracellular Transport (GO:0032386)	Regulation Of Intracellular Transport (GO:0032386)	1	1/38	0.02631578947368421	38	0.0207075512732703	0.0425828000878737	NUMA1
Regulation Of Protein Import Into Nucleus (GO:0042306)	Regulation Of Protein Import Into Nucleus (GO:0042306)	1	1/38	0.02631578947368421	38	0.0207075512732703	0.0425828000878737	TPR
RNA Transport (GO:0050658)	RNA Transport (GO:0050658)	1	1/39	0.02564102564102564	39	0.0212471852336025	0.0425828000878737	TPR
Nuclear Transport (GO:0051169)	Nuclear Transport (GO:0051169)	1	1/39	0.02564102564102564	39	0.0212471852336025	0.0425828000878737	TPR
Regulation Of Microtubule Polymerization (GO:0031113)	Regulation Of Microtubule Polymerization (GO:0031113)	1	1/40	0.025	40	0.0217865488821679	0.0425828000878737	NUMA1
Cellular Response To Heat (GO:0034605)	Cellular Response To Heat (GO:0034605)	1	1/40	0.025	40	0.0217865488821679	0.0425828000878737	TPR
Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	Regulation Of Neurotransmitter Receptor Activity (GO:0099601)	1	1/42	0.023809523809523808	42	0.0228644657337732	0.0433752364655403	DLGAP4
Modulation By Host Of Symbiont Process (GO:0051851)	Modulation By Host Of Symbiont Process (GO:0051851)	1	1/42	0.023809523809523808	42	0.0228644657337732	0.0433752364655403	PI4KA
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518)	1	1/43	0.023255813953488372	43	0.0234030191755172	0.0434989867656972	TMF1
Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854)	Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854)	1	1/44	0.022727272727272728	44	0.0239413027935232	0.0434989867656972	PI4KA
Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824)	Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824)	1	1/44	0.022727272727272728	44	0.0239413027935232	0.0434989867656972	TPR
Cytoplasmic Microtubule Organization (GO:0031122)	Cytoplasmic Microtubule Organization (GO:0031122)	1	1/48	0.020833333333333332	48	0.0260917413851551	0.0464094136966854	NUMA1
Nuclear Export (GO:0051168)	Nuclear Export (GO:0051168)	1	1/49	0.02040816326530612	49	0.0266286776759158	0.0464094136966854	TPR
Positive Regulation Of Transport (GO:0051050)	Positive Regulation Of Transport (GO:0051050)	1	1/50	0.02	50	0.0271653448579923	0.0464094136966854	NUMA1
Nucleocytoplasmic Transport (GO:0006913)	Nucleocytoplasmic Transport (GO:0006913)	1	1/50	0.02	50	0.0271653448579923	0.0464094136966854	TPR
